alpha,budget,connect,BDI,species,ObjVal
numeric,numeric,numeric,numeric,numeric,numeric
0.07,80,150,18.97049794,121,147.97
0.1,80,150,19.00470678,121,147.1
0.13,80,150,19.00470678,121,146.23
0.16,80,150,18.44957469,121,145.36
0.19,80,150,18.84230997,121,144.49
0.22,80,150,18.44957469,121,143.62
0.25,80,150,18.47548272,121,142.75
0.28,80,150,19.00343943,121,141.88
0.31,80,150,18.97049794,121,141.01
0.34,80,150,19.00470678,121,140.14
0.37,80,150,19.00470678,121,139.27
0.4,80,150,18.12927999,121,138.4
0.43,80,150,19.00343943,121,137.53
0.46,80,150,19.00470678,121,136.66
0.49,80,150,18.59062465,121,135.79
0.52,80,148,18.62902976,123,135
0.55,80,148,18.48118,123,134.25
0.58,80,148,18.93198201,123,133.5
0.61,80,148,19.22644307,123,132.75
0.64,80,148,19.22644307,123,132
0.67,80,148,18.70601378,123,131.25
0.7,80,148,18.86146651,123,130.5
0.73,80,148,18.72461861,123,129.75
0.76,80,148,18.72461861,123,129
0.79,80,148,18.86146651,123,128.25
0.82,80,148,18.85120112,123,127.5
0.85,80,148,18.87366884,123,126.75
0.88,80,136,19.88545692,125,126.32
0.91,80,136,20.82909436,125,125.99
0.94,80,136,20.4576141,125,125.66
0.97,80,136,20.42910024,125,125.33
0.01,85,158,20.14465066,122,157.64
0.04,85,158,20.33840232,122,156.56
0.07,85,158,19.07161061,122,155.48
0.1,85,158,19.71925444,122,154.4
0.13,85,158,19.62351869,122,153.32
0.16,85,158,19.74668732,122,152.24
0.19,85,158,19.99075874,122,151.16
0.22,85,158,19.99075874,122,150.08
0.25,85,158,20.41748534,122,149
0.28,85,158,19.41660934,122,147.92
0.31,85,158,19.74668732,122,146.84
0.34,85,158,19.91344019,122,145.76
0.37,85,158,20.14465066,122,144.68
0.4,85,158,19.74668732,122,143.6
0.43,85,158,19.40230022,122,142.52
0.46,85,158,19.80026356,122,141.44
0.49,85,158,19.40230022,122,140.36
0.52,85,158,19.74668732,122,139.28
0.55,85,158,19.29151073,122,138.2
0.58,85,158,19.74668732,122,137.12
0.61,85,158,19.1976159,122,136.04
0.64,85,158,20.38536013,122,134.96
0.67,85,156,20.23194799,123,133.89
0.7,85,156,19.88150718,123,132.9
0.73,85,156,20.49550945,123,131.91
0.76,85,156,20.28995761,123,130.92
0.79,85,156,20.41718277,123,129.93
0.82,85,152,20.32662334,124,129.04
0.85,85,152,19.42720114,124,128.2
0.88,85,146,20.83650791,125,127.52
0.91,85,146,21.95746338,125,126.89
0.94,85,146,21.87512041,125,126.26
0.97,85,146,21.40168765,125,125.63
0.01,90,168,20.31578268,121,167.53
0.04,90,168,20.31578268,121,166.12
0.07,90,168,20.31578268,121,164.71
0.1,90,168,20.31578268,121,163.3
0.13,90,168,20.31578268,121,161.89
0.16,90,168,20.31578268,121,160.48
0.19,90,168,20.31578268,121,159.07
0.22,90,168,20.31578268,121,157.66
0.25,90,168,20.31578268,121,156.25
0.28,90,168,20.31578268,121,154.84
0.31,90,168,20.31578268,121,153.43
0.34,90,168,20.31578268,121,152.02
0.37,90,168,20.31578268,121,150.61
0.4,90,168,20.31578268,121,149.2
0.43,90,168,20.31578268,121,147.79
0.46,90,168,20.31578268,121,146.38
0.49,90,168,20.31578268,121,144.97
0.52,90,166,21.01834408,123,143.64
0.55,90,166,21.52589163,123,142.35
0.58,90,166,21.52589163,123,141.06
0.61,90,166,21.03756461,123,139.77
0.64,90,166,21.03756461,123,138.48
0.67,90,166,21.03756461,123,137.19
0.7,90,166,21.87027873,123,135.9
0.73,90,166,21.36273118,123,134.61
0.76,90,166,21.87027873,123,133.32
0.79,90,166,21.36273118,123,132.03
0.82,90,162,21.12841774,124,130.84
0.85,90,162,21.12841774,124,129.7
0.88,90,156,22.25772013,125,128.72
0.91,90,156,22.43488888,125,127.79
0.94,90,156,22.06239415,125,126.86
0.97,90,156,22.1505665,125,125.93
0.01,95,176,21.72982859,122,175.46
0.04,95,176,21.72982859,122,173.84
0.07,95,176,21.72982859,122,172.22
0.1,95,176,21.72982859,122,170.6
0.13,95,176,21.72982859,122,168.98
0.16,95,176,21.72982859,122,167.36
0.19,95,176,21.72982859,122,165.74
0.22,95,176,21.72982859,122,164.12
0.25,95,176,21.72982859,122,162.5
0.28,95,176,21.72982859,122,160.88
0.31,95,176,21.72982859,122,159.26
0.34,95,176,21.72982859,122,157.64
0.37,95,176,21.72982859,122,156.02
0.4,95,176,21.72982859,122,154.4
0.43,95,176,21.72982859,122,152.78
0.46,95,176,21.72982859,122,151.16
0.49,95,176,21.72982859,122,149.54
0.52,95,176,21.72982859,122,147.92
0.55,95,176,21.72982859,122,146.3
0.58,95,176,21.72982859,122,144.68
0.61,95,176,21.72982859,122,143.06
0.64,95,176,21.72982859,122,141.44
0.67,95,174,21.98854063,123,139.83
0.7,95,174,22.40463887,123,138.3
0.73,95,174,21.98854063,123,136.77
0.76,95,174,22.24695273,123,135.24
0.79,95,174,22.47888376,123,133.71
0.82,95,166,22.91964979,125,132.38
0.85,95,166,23.06144094,125,131.15
0.88,95,166,23.42826818,125,129.92
0.91,95,166,22.76195102,125,128.69
0.94,95,166,23.06144094,125,127.46
0.97,95,166,23.10254125,125,126.23
